school,sex,age,address,famsize,Pstatus,Medu,Fedu,Mjob,Fjob,reason,guardian_x,traveltime_x,studytime_x,failures_x,schoolsup_x,famsup_x,paid_x,activities_x,nursery,higher_x,internet,romantic_x,famrel_x,freetime_x,goout_x,Dalc_x,Walc_x,health_x,absences_x,G1_x,G2_x,G3_x,guardian_y,traveltime_y,studytime_y,failures_y,schoolsup_y,famsup_y,paid_y,activities_y,higher_y,romantic_y,famrel_y,freetime_y,goout_y,Dalc_y,Walc_y,health_y,absences_y,G3_y
GP,M,18.0,U,GT3,T,4.0,4.0,teacher,services,home,mother,2.0,1.0,0.0,no,no,yes,yes,yes,yes,yes,no,3.0,2.0,4.0,1.0,4.0,3.0,22.0,9.0,9.0,9.0,father,1.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,3.0,2.0,2.0,2.0,0.0,
GP,M,17.0,U,GT3,T,2.0,3.0,other,other,course,father,2.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,5.0,2.0,2.0,1.0,1.0,2.0,4.0,12.0,12.0,13.0,father,2.0,1.0,0.0,no,no,no,no,yes,no,5.0,2.0,2.0,1.0,1.0,2.0,2.0,
GP,M,18.0,U,LE3,T,3.0,3.0,services,health,home,father,1.0,2.0,1.0,no,yes,yes,no,yes,yes,yes,no,3.0,2.0,4.0,2.0,4.0,4.0,13.0,6.0,6.0,8.0,father,1.0,2.0,0.0,no,yes,no,no,yes,no,3.0,2.0,4.0,2.0,4.0,4.0,10.0,
GP,F,18.0,U,LE3,T,2.0,2.0,other,other,home,other,1.0,2.0,0.0,no,no,no,yes,no,yes,yes,yes,4.0,3.0,3.0,1.0,1.0,2.0,0.0,8.0,8.0,0.0,other,1.0,2.0,0.0,no,no,no,yes,yes,yes,4.0,3.0,3.0,1.0,1.0,2.0,0.0,
GP,F,15.0,U,GT3,A,4.0,3.0,services,services,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,3.0,2.0,1.0,1.0,1.0,0.0,14.0,15.0,15.0,mother,1.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,2.0,1.0,1.0,1.0,0.0,
MS,M,18.0,R,GT3,T,2.0,1.0,other,other,other,mother,2.0,1.0,0.0,no,no,no,yes,no,yes,yes,yes,4.0,4.0,3.0,1.0,3.0,5.0,5.0,7.0,6.0,7.0,mother,2.0,1.0,0.0,no,no,no,yes,yes,yes,4.0,4.0,3.0,1.0,3.0,5.0,0.0,
GP,M,15.0,U,LE3,T,3.0,3.0,other,other,course,mother,1.0,2.0,0.0,no,no,no,yes,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0.0,8.0,10.0,12.0,mother,1.0,2.0,0.0,no,no,no,yes,yes,no,5.0,3.0,2.0,1.0,1.0,2.0,0.0,
GP,F,16.0,U,GT3,T,2.0,2.0,at_home,other,home,mother,1.0,2.0,1.0,yes,no,no,yes,yes,yes,yes,no,3.0,1.0,2.0,1.0,1.0,5.0,6.0,10.0,13.0,13.0,mother,1.0,2.0,1.0,yes,no,no,yes,yes,no,3.0,1.0,2.0,1.0,1.0,5.0,12.0,
MS,M,18.0,R,GT3,T,4.0,2.0,other,other,home,father,2.0,1.0,1.0,no,no,yes,no,yes,yes,no,no,5.0,4.0,3.0,4.0,3.0,3.0,14.0,6.0,5.0,5.0,father,2.0,1.0,1.0,no,no,yes,no,yes,no,5.0,4.0,3.0,4.0,3.0,3.0,0.0,
GP,M,17.0,U,LE3,T,2.0,2.0,other,other,home,father,1.0,2.0,0.0,no,no,yes,yes,no,yes,yes,yes,4.0,4.0,2.0,5.0,5.0,4.0,4.0,14.0,13.0,13.0,father,1.0,2.0,0.0,no,no,no,yes,yes,yes,4.0,4.0,2.0,5.0,5.0,4.0,0.0,
MS,F,17.0,U,GT3,T,2.0,2.0,other,at_home,home,mother,1.0,3.0,0.0,no,no,no,yes,yes,yes,no,yes,3.0,4.0,3.0,1.0,1.0,3.0,8.0,13.0,11.0,11.0,mother,1.0,3.0,0.0,no,no,no,yes,yes,yes,3.0,4.0,3.0,1.0,1.0,3.0,8.0,
GP,M,16.0,U,GT3,T,4.0,4.0,teacher,teacher,course,father,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,4.0,4.0,1.0,2.0,5.0,2.0,15.0,15.0,16.0,mother,1.0,1.0,0.0,no,yes,no,no,no,yes,3.0,3.0,2.0,2.0,1.0,5.0,16.0,
GP,M,16.0,R,GT3,T,3.0,3.0,services,services,reputation,mother,1.0,1.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,2.0,3.0,4.0,5.0,8.0,8.0,9.0,10.0,mother,1.0,1.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,2.0,3.0,4.0,5.0,0.0,
GP,F,18.0,U,GT3,T,1.0,1.0,other,other,home,mother,2.0,2.0,0.0,yes,no,no,yes,yes,yes,yes,no,5.0,4.0,4.0,1.0,1.0,4.0,4.0,8.0,9.0,10.0,mother,2.0,2.0,0.0,yes,no,no,yes,yes,no,5.0,4.0,4.0,1.0,1.0,4.0,0.0,
GP,M,15.0,R,GT3,T,4.0,4.0,other,other,home,father,4.0,4.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,1.0,3.0,5.0,3.0,5.0,1.0,6.0,10.0,13.0,13.0,father,4.0,4.0,0.0,no,yes,no,yes,yes,yes,1.0,3.0,5.0,3.0,5.0,1.0,8.0,
GP,M,17.0,U,LE3,T,4.0,3.0,teacher,other,course,mother,2.0,2.0,0.0,no,no,yes,yes,yes,yes,yes,no,4.0,4.0,4.0,4.0,4.0,4.0,4.0,10.0,9.0,9.0,mother,2.0,2.0,0.0,no,no,no,yes,yes,no,4.0,4.0,4.0,4.0,4.0,4.0,0.0,
GP,M,16.0,U,GT3,T,4.0,4.0,teacher,teacher,course,mother,1.0,1.0,0.0,no,yes,no,no,yes,no,yes,yes,3.0,3.0,2.0,2.0,1.0,5.0,0.0,7.0,6.0,0.0,mother,1.0,1.0,0.0,no,yes,no,no,no,yes,3.0,3.0,2.0,2.0,1.0,5.0,16.0,
MS,F,17.0,R,GT3,T,1.0,1.0,other,services,reputation,mother,3.0,1.0,1.0,no,yes,yes,no,yes,yes,yes,yes,5.0,2.0,1.0,1.0,2.0,1.0,0.0,7.0,6.0,0.0,mother,3.0,1.0,1.0,no,yes,no,no,yes,yes,5.0,2.0,1.0,1.0,2.0,1.0,0.0,
MS,F,18.0,R,GT3,T,1.0,1.0,other,other,home,mother,4.0,3.0,0.0,no,no,no,no,yes,yes,yes,no,4.0,3.0,2.0,1.0,2.0,4.0,2.0,8.0,8.0,10.0,mother,4.0,3.0,0.0,no,no,no,no,yes,no,4.0,3.0,2.0,1.0,2.0,4.0,4.0,
GP,M,16.0,U,GT3,T,4.0,4.0,services,services,course,mother,1.0,1.0,0.0,no,no,no,yes,yes,yes,yes,no,5.0,3.0,2.0,1.0,2.0,5.0,0.0,13.0,12.0,12.0,mother,1.0,1.0,0.0,no,no,yes,yes,yes,no,5.0,3.0,2.0,1.0,2.0,5.0,4.0,
GP,M,15.0,U,GT3,T,4.0,4.0,services,teacher,course,father,1.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,2.0,19.0,18.0,18.0,father,1.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,3.0,1.0,1.0,5.0,0.0,
GP,F,15.0,R,GT3,T,2.0,2.0,at_home,other,reputation,mother,1.0,1.0,0.0,yes,yes,yes,yes,yes,yes,no,no,4.0,3.0,1.0,1.0,1.0,2.0,8.0,14.0,13.0,13.0,mother,1.0,1.0,0.0,yes,yes,no,yes,yes,no,4.0,3.0,1.0,1.0,1.0,2.0,8.0,
GP,M,15.0,U,GT3,T,3.0,4.0,other,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,14.0,15.0,15.0,mother,1.0,2.0,0.0,no,yes,no,yes,yes,no,5.0,5.0,1.0,1.0,1.0,5.0,0.0,
GP,F,16.0,U,LE3,T,3.0,1.0,other,other,home,father,1.0,2.0,0.0,yes,yes,no,no,yes,yes,no,no,3.0,3.0,3.0,2.0,3.0,2.0,4.0,7.0,6.0,6.0,father,1.0,2.0,0.0,yes,yes,no,no,yes,no,3.0,3.0,3.0,2.0,3.0,2.0,0.0,
GP,F,16.0,U,GT3,T,4.0,4.0,health,other,home,mother,1.0,1.0,0.0,no,yes,no,no,yes,yes,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,4.0,14.0,14.0,14.0,mother,1.0,1.0,0.0,no,yes,no,no,yes,no,4.0,4.0,4.0,1.0,2.0,2.0,6.0,
GP,F,16.0,U,GT3,A,2.0,1.0,other,other,other,mother,1.0,2.0,0.0,no,no,yes,yes,yes,yes,yes,yes,5.0,3.0,4.0,1.0,1.0,2.0,8.0,8.0,9.0,10.0,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,5.0,3.0,4.0,1.0,1.0,2.0,2.0,
GP,F,16.0,U,LE3,T,1.0,1.0,at_home,at_home,course,mother,1.0,1.0,0.0,no,no,no,no,yes,yes,yes,no,3.0,4.0,4.0,3.0,3.0,1.0,2.0,14.0,14.0,13.0,mother,1.0,1.0,0.0,no,no,no,no,yes,no,3.0,4.0,4.0,3.0,3.0,1.0,4.0,
GP,M,16.0,U,GT3,T,4.0,4.0,health,other,reputation,father,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,no,4.0,2.0,4.0,2.0,4.0,1.0,2.0,14.0,13.0,13.0,father,1.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,2.0,4.0,2.0,4.0,1.0,0.0,
GP,F,18.0,U,GT3,A,4.0,4.0,at_home,teacher,course,mother,2.0,2.0,0.0,yes,no,no,no,yes,yes,no,no,4.0,3.0,4.0,1.0,1.0,3.0,6.0,5.0,6.0,6.0,mother,2.0,2.0,0.0,yes,no,no,no,yes,no,4.0,3.0,4.0,1.0,1.0,3.0,4.0,
GP,M,17.0,R,LE3,A,4.0,4.0,teacher,other,course,mother,2.0,2.0,0.0,no,yes,yes,no,yes,yes,yes,no,3.0,3.0,3.0,2.0,3.0,4.0,2.0,10.0,11.0,12.0,mother,2.0,2.0,0.0,no,yes,no,no,yes,no,3.0,3.0,3.0,2.0,3.0,4.0,0.0,
GP,M,16.0,U,GT3,T,3.0,3.0,services,other,home,father,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,2.0,16.0,18.0,18.0,father,1.0,3.0,0.0,no,yes,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,
GP,F,16.0,U,GT3,T,2.0,2.0,services,services,home,mother,1.0,1.0,2.0,no,yes,yes,no,no,yes,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,14.0,6.0,9.0,8.0,mother,1.0,1.0,0.0,no,yes,no,no,yes,no,1.0,2.0,2.0,1.0,3.0,5.0,6.0,
GP,F,17.0,U,GT3,T,4.0,4.0,teacher,teacher,course,mother,2.0,3.0,0.0,no,yes,yes,no,no,yes,yes,yes,4.0,3.0,3.0,1.0,2.0,4.0,4.0,14.0,14.0,14.0,mother,2.0,3.0,0.0,no,yes,no,no,yes,yes,4.0,3.0,3.0,1.0,2.0,4.0,4.0,
GP,M,17.0,U,GT3,T,2.0,1.0,other,other,home,mother,2.0,1.0,3.0,yes,yes,no,yes,yes,no,yes,no,4.0,5.0,1.0,1.0,1.0,3.0,2.0,8.0,8.0,10.0,mother,2.0,1.0,3.0,yes,yes,no,yes,no,no,4.0,5.0,1.0,1.0,1.0,3.0,0.0,
GP,F,15.0,U,GT3,T,4.0,4.0,services,at_home,course,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,yes,yes,4.0,3.0,3.0,1.0,1.0,5.0,0.0,11.0,0.0,0.0,mother,1.0,3.0,0.0,no,yes,no,yes,yes,yes,4.0,3.0,3.0,1.0,1.0,5.0,4.0,
MS,F,17.0,R,GT3,T,3.0,1.0,at_home,other,reputation,mother,1.0,2.0,0.0,no,yes,yes,yes,no,yes,yes,no,4.0,5.0,4.0,2.0,3.0,1.0,17.0,10.0,10.0,10.0,mother,1.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,5.0,4.0,2.0,3.0,1.0,10.0,
GP,M,16.0,U,GT3,T,3.0,3.0,services,other,home,mother,1.0,2.0,0.0,no,no,yes,yes,yes,yes,yes,yes,4.0,2.0,3.0,1.0,2.0,3.0,2.0,12.0,13.0,12.0,father,1.0,3.0,0.0,no,yes,no,yes,yes,no,5.0,3.0,3.0,1.0,1.0,5.0,4.0,
GP,F,16.0,U,LE3,A,3.0,3.0,other,services,home,mother,1.0,2.0,0.0,no,yes,no,no,yes,yes,yes,no,2.0,3.0,5.0,1.0,4.0,3.0,12.0,11.0,12.0,11.0,mother,1.0,2.0,0.0,no,yes,no,no,yes,no,2.0,3.0,5.0,1.0,4.0,3.0,6.0,
MS,F,18.0,U,GT3,T,3.0,3.0,services,services,other,mother,2.0,2.0,0.0,no,yes,no,no,yes,yes,yes,yes,4.0,3.0,2.0,1.0,3.0,3.0,0.0,11.0,11.0,10.0,mother,2.0,2.0,0.0,no,yes,no,no,yes,yes,4.0,3.0,2.0,1.0,3.0,3.0,6.0,
GP,M,18.0,U,GT3,T,4.0,2.0,teacher,other,home,mother,1.0,2.0,0.0,no,yes,yes,yes,yes,yes,yes,yes,4.0,3.0,2.0,1.0,4.0,5.0,11.0,12.0,11.0,11.0,mother,1.0,2.0,0.0,no,yes,no,yes,yes,yes,4.0,3.0,2.0,1.0,4.0,5.0,2.0,
GP,M,15.0,U,GT3,T,2.0,3.0,other,other,home,mother,1.0,3.0,0.0,yes,no,yes,no,no,yes,yes,no,5.0,3.0,2.0,1.0,2.0,5.0,4.0,11.0,10.0,11.0,mother,1.0,3.0,0.0,yes,no,no,no,yes,no,5.0,3.0,2.0,1.0,2.0,5.0,2.0,
GP,F,16.0,R,GT3,T,3.0,3.0,services,other,reputation,father,1.0,3.0,1.0,yes,yes,no,yes,yes,yes,yes,no,4.0,1.0,2.0,1.0,1.0,2.0,0.0,7.0,10.0,10.0,father,1.0,3.0,0.0,yes,yes,no,yes,yes,no,4.0,1.0,2.0,1.0,1.0,2.0,4.0,
GP,M,15.0,R,GT3,T,2.0,1.0,health,services,reputation,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,yes,yes,5.0,4.0,2.0,1.0,1.0,5.0,8.0,9.0,9.0,9.0,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,5.0,4.0,2.0,1.0,1.0,5.0,4.0,
GP,F,17.0,U,GT3,T,4.0,4.0,other,teacher,course,mother,1.0,1.0,0.0,yes,yes,no,no,yes,yes,no,yes,4.0,2.0,1.0,1.0,1.0,4.0,0.0,11.0,11.0,12.0,mother,1.0,1.0,0.0,yes,yes,no,no,yes,yes,4.0,2.0,1.0,1.0,1.0,4.0,0.0,
GP,F,16.0,U,GT3,A,3.0,3.0,other,other,course,other,2.0,1.0,2.0,no,yes,no,yes,no,yes,yes,yes,4.0,3.0,2.0,1.0,1.0,5.0,0.0,4.0,0.0,0.0,other,2.0,1.0,0.0,no,yes,no,yes,yes,yes,4.0,3.0,2.0,1.0,1.0,5.0,4.0,
GP,M,16.0,U,LE3,T,4.0,2.0,teacher,other,course,mother,1.0,2.0,0.0,no,no,no,yes,yes,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,2.0,15.0,15.0,16.0,mother,1.0,2.0,0.0,no,no,no,yes,yes,no,4.0,5.0,1.0,1.0,3.0,5.0,0.0,
GP,M,15.0,U,GT3,T,4.0,4.0,services,services,reputation,mother,2.0,2.0,0.0,no,yes,no,yes,yes,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,0.0,17.0,16.0,17.0,mother,2.0,2.0,0.0,no,yes,no,yes,yes,no,4.0,3.0,1.0,1.0,1.0,5.0,2.0,
